"marker","delta","sd","weight","p_adjusted","chaussabel","BTM"
"btn3a3","0.133 (-1, 0.192)",0.036,7.53,"2.2e-03","M13.6 - Gene transcription",NA
"casp1","0.14 (-1, 0.197)",0.035,7.14,"2.5e-03","M13.1 - Inflammation; M13.17 - Interferon","viral sensing & immunity; IRF2 targets network (II) (M111.1)"
"sectm1","0.142 (-1, 0.198)",0.034,7.03,"2.6e-03",NA,"cell cycle and transcription (M4.0); myeloid cell enriched receptors and transporters (M4.3); enriched in monocytes (II) (M11.0); formyl peptide receptor mediated neutrophil response (M11.2)"
"elf4","0.132 (-1, 0.192)",0.036,7.59,"2.9e-03","M16.26 - TBD",NA
"trim26","0.134 (-1, 0.194)",0.036,7.45,"3.2e-03","M13.29 - Protein modification",NA
"marco","0.138 (-1, 0.196)",0.035,7.27,"3.4e-03","M16.85 - TBD","myeloid cell enriched receptors and transporters (M4.3); Monocyte surface signature (S4)"
"dhdds","0.138 (-1, 0.196)",0.036,7.27,"3.6e-03","M16.8 - TBD; M16.97 - Cell death",NA
"psen2","0.145 (-1, 0.201)",0.034,6.91,"3.9e-03","M16.11 - Protein synthesis; M16.30 - Complement","DC surface signature (S5); Resting dendritic cell surface signature (S10)"
"lmo2","0.147 (-1, 0.203)",0.034,6.78,"4.3e-03","M13.1 - Inflammation","cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0)"
"fgl2","0.145 (-1, 0.202)",0.035,6.92,"5.5e-03","M16.40 - Monocytes","extracellular matrix (II) (M2.1); cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0); enriched in antigen presentation (II) (M95.0)"
"btn3a1","0.143 (-1, 0.201)",0.035,6.97,"5.5e-03","M15.25 - TBD",NA
"cd40","0.143 (-1, 0.201)",0.035,7,"6.0e-03","M16.6 - Monocytes","Activated (LPS) dendritic cell surface signature (S11)"
"tyrobp","0.148 (-1, 0.205)",0.035,6.76,"1.0e-02","M15.105 - Inflammation","cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0); TLR and inflammatory signaling (M16); inflammatory response (M33); T cell surface, activation (M36); complement and other receptors in DCs (M40); TBA (M48); transcription regulation in cell development (M49); enriched in neutrophils (II) (M163)"
"aldh2","0.147 (-1, 0.205)",0.035,6.78,"1.1e-02","M12.2 - Monocytes","cell cycle and transcription (M4.0); enriched in monocytes (II) (M11.0); TBA (M66)"
"tns3","0.146 (-1, 0.204)",0.036,6.87,"1.1e-02","M14.1 - Gene transcription","cell cycle and transcription (M4.0); cell junction (GO) (M4.13); enriched in monocytes (II) (M11.0)"
"sp100","0.144 (-1, 0.204)",0.036,6.93,"1.4e-02","M13.17 - Interferon; M15.64 - Interferon","innate antiviral response (M150)"
"slc7a7","0.15 (-1, 0.207)",0.035,6.68,"1.4e-02","M12.2 - Monocytes","cell cycle and transcription (M4.0); myeloid cell enriched receptors and transporters (M4.3); enriched in monocytes (II) (M11.0); blood coagulation (M11.1); TBA (M66); transmembrane transport (I) (M87); Monocyte surface signature (S4)"
"smarcd3","0.147 (-1, 0.205)",0.036,6.82,"1.5e-02","M14.28 - Neutrophils; M16.22 - TBD","enriched in monocytes (IV) (M118.0)"
"dpysl2","0.148 (-1, 0.207)",0.036,6.75,"1.7e-02","M12.2 - Monocytes","enriched in monocytes (I) (M4.15)"
"nfkbib","0.145 (-1, 0.205)",0.036,6.89,"1.7e-02","M16.6 - Monocytes; M16.26 - TBD",NA
"tmem51","0.151 (-1, 0.209)",0.035,6.62,"1.9e-02","M16.2 - Protein synthesis","DC surface signature (S5); Resting dendritic cell surface signature (S10)"
"slc25a22","0.146 (-1, 0.205)",0.036,6.86,"1.9e-02","M16.15 - Cell death",NA
"slc20a1","0.151 (-1, 0.209)",0.035,6.64,"2.0e-02","M15.25 - TBD",NA
"gsto1","0.149 (-1, 0.208)",0.036,6.73,"2.2e-02","M13.11 - TBD; M14.32 - TBD",NA
"emilin2","0.154 (-1, 0.212)",0.036,6.49,"3.6e-02","M12.2 - Monocytes","immune activation - generic cluster (M37.0); enriched in monocytes (IV) (M118.0); enriched in dendritic cells (M168)"
"ctss","0.152 (-1, 0.212)",0.036,6.56,"3.9e-02","M14.48 - Inflammation","immune activation - generic cluster (M37.0); viral sensing & immunity; IRF2 targets network (I) (M111.0); enriched in monocytes (IV) (M118.0); lysosomal/endosomal proteins (M139)"
"anxa5","0.153 (-1, 0.212)",0.036,6.52,"4.1e-02","M15.18 - TBD","immune activation - generic cluster (M37.0)"
"asgr1","0.156 (-1, 0.214)",0.035,6.4,"4.1e-02","M12.2 - Monocytes","cell cycle and transcription (M4.0); myeloid cell enriched receptors and transporters (M4.3); enriched in monocytes (II) (M11.0); TLR8-BAFF network (M25); Monocyte surface signature (S4)"
"far2","0.157 (-1, 0.214)",0.035,6.39,"4.2e-02",NA,"enriched in antigen presentation (I) (M71)"
"gna15","0.148 (-1, 0.209)",0.037,6.73,"4.3e-02","M13.3 - TBD","platelet activation (III) (M42); G protein mediated calcium signaling (M159)"
"ffar2","0.15 (-1, 0.211)",0.037,6.65,"4.5e-02","M13.16 - Cytokines/chemokines","enriched in neutrophils (I) (M37.1); recruitment of neutrophils (M132)"
"shtn1","0.154 (-1, 0.213)",0.036,6.49,"4.5e-02",NA,NA
